Id,Property building category,Property building type,Title,Built up price psf,Size built up,Valuation price,YEAR,QUARTER,NAME,Year completion,Property building category,Property building type
481654,HIGHRISE,CONDO,RESIDENTIAL,509,1098,559000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
481661,HIGHRISE,CONDO,RESIDENTIAL,710,1098,780000,2016,20164,LILY POINT,2009,HIGHRISE,CONDO
486764,HIGHRISE,CONDO,RESIDENTIAL,563,1098,618000,2015,20153,LILY POINT,2009,HIGHRISE,CONDO
486784,HIGHRISE,CONDO,RESIDENTIAL,581,1098,638000,2015,20153,LILY POINT,2009,HIGHRISE,CONDO
486794,HIGHRISE,CONDO,RESIDENTIAL,515,1098,565000,2015,20153,LILY POINT,2009,HIGHRISE,CONDO
486940,HIGHRISE,CONDO,RESIDENTIAL,496,1098,545000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
488336,HIGHRISE,CONDO,RESIDENTIAL,501,1098,550000,2015,20153,LILY POINT,2009,HIGHRISE,CONDO
488411,HIGHRISE,CONDO,RESIDENTIAL,455,1098,500000,2014,20143,LILY POINT,2009,HIGHRISE,CONDO
495373,HIGHRISE,CONDO,RESIDENTIAL,496,1098,545000,2015,20153,LILY POINT,2009,HIGHRISE,CONDO
495437,HIGHRISE,CONDO,RESIDENTIAL,528,1098,580000,2015,20154,LILY POINT,2009,HIGHRISE,CONDO
495524,HIGHRISE,CONDO,RESIDENTIAL,469,1098,515000,2016,20161,LILY POINT,2009,HIGHRISE,CONDO
496748,HIGHRISE,CONDO,RESIDENTIAL,250,1098,275000,2009,20093,LILY POINT,2009,HIGHRISE,CONDO
496783,HIGHRISE,CONDO,RESIDENTIAL,546,1098,600000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
496789,HIGHRISE,CONDO,RESIDENTIAL,528,1098,580000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
496846,HIGHRISE,CONDO,RESIDENTIAL,455,1098,500000,2015,20152,LILY POINT,2009,HIGHRISE,CONDO
496888,HIGHRISE,CONDO,RESIDENTIAL,587,1098,645000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
496904,HIGHRISE,CONDO,RESIDENTIAL,474,1098,520000,2015,20151,LILY POINT,2009,HIGHRISE,CONDO
